Id,Label,0,1,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
sten,sten,MORGENMØDE2024,,9,5,0.325139,0.342368,0
starten,starten,MORGENMØDE2024,,9,5,0.325139,0.342368,0
kildekritisk,kildekritisk,MORGENMØDE2024,,4,4,0.359487,0.378031,0
vide,vide,MORGENMØDE2024,,2,4,0.329417,0.345816,0
spor,spor,MORGENMØDE2024,,2,4,0.364535,0.38766,226.98909
krav,krav,MORGENMØDE2024,,2,4,0.329417,0.345816,0
sporene,sporene,MORGENMØDE2024,,2,4,0.343627,0.361388,0
opmærkning,opmærkning,MORGENMØDE2024,,2,4,0.343627,0.361388,0
opklipning,opklipning,MORGENMØDE2024,,2,4,0.343627,0.361388,0
it,it,MORGENMØDE2024,,16,4,0.349626,0.366857,0
systemer,systemer,MORGENMØDE2024,,16,4,0.349626,0.366857,0
portefølje,portefølje,MORGENMØDE2024,,16,4,0.355297,0.376486,174.377992
forretningskritiske,forretningskritiske,MORGENMØDE2024,,16,4,0.349626,0.366857,0
forbedrer,forbedrer,MORGENMØDE2024,,16,4,0.349626,0.366857,0
sikkerhed,sikkerhed,MORGENMØDE2024,,5,4,0.318926,0.336662,0
udefra,udefra,MORGENMØDE2024,,5,4,0.342955,0.365549,298.942273
svær,svær,MORGENMØDE2024,,5,4,0.318926,0.336662,0
omverdenen,omverdenen,MORGENMØDE2024,,5,4,0.318926,0.336662,0
robust,robust,MORGENMØDE2024,,16,4,0.320677,0.337613,0
ramt,ramt,MORGENMØDE2024,,16,4,0.320677,0.337613,0
modstå,modstå,MORGENMØDE2024,,16,4,0.320677,0.337613,0
overblik,overblik,MORGENMØDE2024,,10,4,0.35015,0.367332,0
foregår,foregår,MORGENMØDE2024,,10,4,0.344303,0.361983,0
beslutninger,beslutninger,MORGENMØDE2024,,10,4,0.344303,0.361983,0
beslutningsstøtte,beslutningsstøtte,MORGENMØDE2024,,10,4,0.344303,0.361983,0
gribe,gribe,MORGENMØDE2024,,2,4,0.319217,0.335592,0
yes,yes,MORGENMØDE2024,,2,4,0.319217,0.335592,0
begynder,begynder,MORGENMØDE2024,,2,4,0.319217,0.335592,0
chatgpt,chatgpt,MORGENMØDE2024,,2,4,0.319217,0.335592,0
derude,derude,MORGENMØDE2024,,2,4,0.319217,0.335592,0
folk,folk,MORGENMØDE2024,,15,4,0.349452,0.367451,0
anciennitet,anciennitet,MORGENMØDE2024,,12,4,0.321118,0.336068,0
rekruttering,rekruttering,MORGENMØDE2024,,12,4,0.321118,0.336068,0
gennemsnitlig,gennemsnitlig,MORGENMØDE2024,,12,4,0.321118,0.336068,0
rekrutteringsopgave,rekrutteringsopgave,MORGENMØDE2024,,0,4,0.34532,0.361151,0
pension,pension,MORGENMØDE2024,,0,4,0.34532,0.361151,0
mennesker,mennesker,MORGENMØDE2024,,1,4,0.34841,0.366381,0
holde,holde,MORGENMØDE2024,,1,4,0.34841,0.366381,0
hente,hente,MORGENMØDE2024,,1,4,0.34841,0.366381,0
kraftmængder,kraftmængder,MORGENMØDE2024,,0,4,0.354937,0.37078,0
seniorordningen,seniorordningen,MORGENMØDE2024,,3,4,0.326959,0.344151,0
løn,løn,MORGENMØDE2024,,3,4,0.326959,0.344151,0
igen,igen,MORGENMØDE2024,,3,4,0.335567,0.356871,601.431194
tryghed,tryghed,MORGENMØDE2024,,12,5,0.307052,0.324061,0
sjovt,sjovt,MORGENMØDE2024,,12,5,0.307052,0.324061,0
fejl,fejl,MORGENMØDE2024,,12,5,0.307052,0.324061,0
psykologisk,psykologisk,MORGENMØDE2024,,12,5,0.307052,0.324061,0
tror,tror,MORGENMØDE2024,,3,4,0.354757,0.375297,873.496353
specielt,specielt,MORGENMØDE2024,,3,4,0.346858,0.363647,0
sat,sat,MORGENMØDE2024,,3,4,0.372872,0.395625,256.581009
lederudvikling,lederudvikling,MORGENMØDE2024,,3,4,0.346858,0.363647,0
giv,giv,MORGENMØDE2024,,10,4,0.363212,0.380528,0
haft,haft,MORGENMØDE2024,,10,4,0.363212,0.380528,0
vinde,vinde,MORGENMØDE2024,,3,5,0.293183,0.30825,0
sidder,sidder,MORGENMØDE2024,,3,5,0.293183,0.30825,0
ledelsesstrengen,ledelsesstrengen,MORGENMØDE2024,,3,5,0.293183,0.30825,0
